"","shrimp","almonds","avocado","vegetables mix","green grapes","whole weat flour","yams","cottage cheese","energy drink","tomato juice","low fat yogurt","green tea","honey","salad","mineral water","salmon","antioxydant juice","frozen smoothie","spinach","olive oil"
"197","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","burgers","ham","red wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","shrimp","pasta","tomatoes","energy bar","french wine","antioxydant juice","french fries","frozen smoothie","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","turkey","spaghetti","mineral water","soup","spinach","soda","energy drink","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","turkey","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","bug spray","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","soup","energy bar","chicken","eggs","cake","french fries","body spray","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","spaghetti","chocolate","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","turkey","mineral water","meatballs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","ground beef","mineral water","chocolate","fromage blanc","bacon","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","frozen vegetables","mineral water","vegetables mix","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","herb & pepper","red wine","tomatoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","whole wheat pasta","olive oil","cereals","brownies","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","olive oil","cookies","mushroom cream sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","ground beef","pancakes","cooking oil","gluten free bar","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","mineral water","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","herb & pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","eggs","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","mineral water","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","shrimp","mineral water","soup","black tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","cake","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","turkey","burgers","grated cheese","tomatoes","chocolate","fromage blanc","honey","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","frozen vegetables","ground beef","mineral water","olive oil","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","turkey","burgers","ground beef","milk","olive oil","cake","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","whole wheat pasta","ground beef","spaghetti","yams","mineral water","soup","chutney","cereals","energy drink","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","eggs","whole wheat rice","cake","green tea","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","ground beef","yams","soup","avocado","salmon","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","spaghetti","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","whole wheat pasta","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","whole wheat pasta","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","spaghetti","meatballs","vegetables mix","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","eggs","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","fresh tuna","shrimp","pasta","mineral water","olive oil","eggs","cake","brownies","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","mineral water","green grapes","hot dogs","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","frozen vegetables","meatballs","eggs","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","meatballs","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","escalope","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","pepper","chocolate","olive oil","french wine","salmon","rice","light mayo","fresh bread","magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","red wine","french wine","vegetables mix","rice","clothes accessories","hot dogs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","burgers","dessert wine","spaghetti","chicken","cake","protein bar","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","french wine","cake","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","burgers","frozen vegetables","flax seed","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","red wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","pepper","mineral water","energy bar","green grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","milk","eggs","cake","chocolate","french fries","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","almonds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","burgers","mineral water","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","milk","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","pancakes","eggs","salt","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","ham","spaghetti","mineral water","olive oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","salt","tomato juice","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","spaghetti","mushroom cream sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","spaghetti","mineral water","eggs","pet food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","frozen vegetables","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","muffins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","turkey","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","spaghetti","mineral water","eggs","cooking oil","chocolate","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","shrimp","frozen vegetables","pepper","spaghetti","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","burgers","fresh tuna","red wine","mineral water","french fries","hand protein bar","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","pancakes","eggs","energy drink","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","strong cheese","salmon","green tea","french fries","frozen smoothie","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","grated cheese","shrimp","pasta","tomatoes","milk","frozen smoothie","sandwich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","herb & pepper","whole wheat pasta","olive oil","pancakes","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","spaghetti","antioxydant juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","chocolate","milk","almonds","eggs","strawberries","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","french fries","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","whole wheat pasta","antioxydant juice","body spray","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","mineral water","oil","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","french fries","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","chocolate","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","frozen vegetables","spaghetti","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","chocolate","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","shrimp","butter","chicken","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","chocolate","cookies","babies food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","pepper","spaghetti","cake","chocolate","french fries","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","avocado","oil","cereals","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","herb & pepper","spaghetti","mineral water","spinach","eggs","oil","cooking oil","green tea","shampoo","tomato juice","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","herb & pepper","frozen vegetables","ground beef","pepper","spaghetti","mint green tea","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","green tea","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","eggs","whole wheat rice","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","grated cheese","herb & pepper","red wine","spaghetti","mineral water","salmon","eggs","cooking oil","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","french fries","cookies","shallot","tomato juice","fresh bread","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","burgers","fresh tuna","spaghetti","muffins","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","herb & pepper","ground beef","spaghetti","eggs","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","grated cheese","muffins","tomato juice","mayonnaise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","whole wheat pasta","yams","mineral water","muffins","frozen smoothie","hot dogs","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","burgers","spaghetti","soup","milk","olive oil","salmon","eggs","blueberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","chocolate","champagne","magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","frozen vegetables","spaghetti","yams","mineral water","french wine","green grapes","rice","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","tomato sauce","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","milk","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","pet food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","escalope","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","herb & pepper","ground beef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","mineral water","honey","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","turkey","eggs","cake","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","turkey","burgers","dessert wine","ground beef","soup","salmon","eggs","gums","tomato juice","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","spaghetti","mineral water","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","turkey","ground beef","carrots","french fries","melons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","mineral water","eggs","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","turkey","cooking oil","shampoo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","spaghetti","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","chocolate","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","grated cheese","pepper","mineral water","chocolate","eggs","cake","mashed potato","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","spaghetti","olive oil","strong cheese","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","red wine","mineral water","soup","rice","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","red wine","shrimp","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","mineral water","chicken","french fries","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","muffins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","cake","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","fresh tuna","tomatoes","mineral water","soup","avocado","meatballs","olive oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","turkey","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","burgers","turkey","herb & pepper","ground beef","pancakes","eggs","light cream","rice","champagne","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","chocolate","escalope","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","ham","spaghetti","french wine","vegetables mix","chocolate","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","avocado","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","spaghetti","yams","butter","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","energy bar","eggs","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","fresh tuna","barbecue sauce","eggplant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","whole wheat rice","french fries","hot dogs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","mineral water","chicken","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","eggs","cake","mushroom cream sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","antioxydant juice","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","shrimp","spaghetti","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","grated cheese","spaghetti","salmon","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","spaghetti","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","champagne","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","mineral water","avocado","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","tomatoes","champagne","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","chicken","french fries","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","frozen vegetables","tomatoes","eggs","green tea","frozen smoothie","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","ground beef","chicken","cider","green grapes","honey","chocolate","french fries","champagne","frozen smoothie","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","french fries","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","mineral water","soup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","frozen vegetables","spaghetti","milk","chocolate","babies food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","honey","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","whole wheat rice","chicken","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","green tea","protein bar","tomato juice","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","grated cheese","herb & pepper","whole wheat pasta","yams","mineral water","bacon","nonfat milk","spinach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","spaghetti","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","milk","chocolate","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","sandwich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","chocolate","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","shrimp","whole wheat pasta","spaghetti","meatballs","chicken","frozen smoothie","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","red wine","ground beef","spaghetti","mineral water","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","yams","melons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","spaghetti","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","mineral water","milk","spinach","cooking oil","chocolate","frozen smoothie","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","tomato sauce","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","shrimp","cider","eggs","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","salad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","frozen vegetables","mineral water","energy bar","honey","rice","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","french fries","salad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","honey","chocolate","french fries","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","green tea","strawberries","gluten free bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","frozen vegetables","ground beef","mineral water","salmon","honey","extra dark chocolate","green tea","mushroom cream sauce","gluten free bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","grated cheese","tomatoes","mineral water","meatballs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","shrimp","chocolate","water spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","turkey","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","turkey","frozen vegetables","tomatoes","soup","butter","french wine","pancakes","eggs","tomato juice","fresh bread","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","milk","frozen smoothie","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
